# Seed labels for the bowler type classifier. P = pace, S = spin.
#
# These are not a lookup table. Testing showed unsupervised clustering reaches
# 94% on its own but fails in one systematic way — part-time medium pacers who
# bowl in the middle overs get called spinners, because the shape of the data is
# really "when do you bowl". Thirty labels lift that to 98.5%, sixty to 99.2%.
# Everything else is inferred, and anything the model is unsure about is left
# blank rather than guessed.
#
# Add a line only when certain. A blank type is visible; a wrong one is not.
name,type
R Ashwin,S
SP Narine,S
B Kumar,P
RA Jadeja,S
YS Chahal,S
PP Chawla,S
JJ Bumrah,P
AR Patel,S
Rashid Khan,S
Harbhajan Singh,S
A Mishra,S
Sandeep Sharma,P
DJ Bravo,P
UT Yadav,P
Mohammed Shami,P
SL Malinga,P
TA Boult,P
KH Pandya,S
Mohammed Siraj,P
P Kumar,P
HV Patel,P
I Sharma,P
MM Sharma,P
JD Unadkat,P
K Rabada,P
Kuldeep Yadav,S
SN Thakur,P
Z Khan,P
DW Steyn,P
CV Varun,S
R Vinay Kumar,P
DL Chahar,P
IK Pathan,P
Arshdeep Singh,P
SR Watson,P
A Nehra,P
PP Ojha,S
PJ Cummins,P
AD Russell,P
Ravi Bishnoi,S
DS Kulkarni,P
RP Singh,P
Avesh Khan,P
HH Pandya,P
JH Kallis,P
M Prasidh Krishna,P
CH Morris,P
JA Morkel,P
RD Chahar,S
KK Ahmed,P
R Bhatia,P
M Morkel,P
KV Sharma,S
JC Archer,P
T Natarajan,P
M Muralitharan,S
AB Dinda,P
L Balaji,P
SK Trivedi,P
KA Pollard,P
Shakib Al Hasan,S
S Nadeem,S
Mustafizur Rahman,P
MM Patel,P
Imran Tahir,S
MJ McClenaghan,P
SM Curran,P
JP Faulkner,P
MG Johnson,P
JO Holder,P
S Kaul,P
TG Southee,P
MA Starc,P
SK Warne,S
JR Hazlewood,P
Washington Sundar,S
M Kartik,S
YK Pathan,S
A Nortje,P
TU Deshpande,P
Noor Ahmad,S
LH Ferguson,P
SB Jakati,S
GJ Maxwell,S
M Jansen,P
VR Aaron,P
S Gopal,S
A Kumble,S
MC Henriques,P
MP Stoinis,P
Yasir Shah,S
Shahid Afridi,S
N Wagner,P
DJG Sammy,P
MDK Perera,S
A Flintoff,P
Danish Kaneria,S
SJ Benn,S
BAW Mendis,S
MJ Leach,S
Abdur Razzak,S
RL Chase,S
TM Dilshan,S
Sikandar Raza,S
S Ecclestone,S
DB Sharma,S
Shoaib Malik,S
JE Root,S
MN Samuels,S
Mohammad Rafique,S
PD Collingwood,P
JP Duminy,S
SC Williams,S
NGRP Jayasuriya,S
C de Grandhomme,P
MR Marsh,P
DM de Silva,S
A Symonds,S
JL Jonassen,S
MRJ Watt,S
A Gardner,S
SR Patel,S
AC Kerr,S
Nida Dar,S
KA Jamieson,P
Zulfiqar Babar,S
Nashra Sandhu,S
L Embuldeniya,S
AY Patel,S
AF Giles,S
SB Styris,P
LA Marsh,S
M Theekshana,S
Imad Wasim,S
Rohan Mustafa,S
SCG MacGill,S
Sohag Gazi,S
RS Gayakwad,S
I Ranaweera,S
Nauman Ali,S
PADLR Sandakan,S
S Luus,S
JA Warrican,S
DM Bess,S
Nahida Akter,S
KS Williamson,S
