cricinfo,personLabel,dob,countryLabel
3931,Ted a'Beckett,1907-08-11T00:00:00Z,Australia
30996,Vijay Merchant,1911-10-12T00:00:00Z,India
30996,Vijay Merchant,1911-10-12T00:00:00Z,British Raj
30996,Vijay Merchant,1911-10-12T00:00:00Z,Dominion of India
31038,Kiran More,1962-09-04T00:00:00Z,India
30009,Vinod Kambli,1972-01-18T00:00:00Z,India
38436,Jason Spice,1974-12-07T00:00:00Z,New Zealand
251095,Lord Beginner,1904-01-01T00:00:00Z,
32231,Brijesh Patel,1952-11-24T00:00:00Z,India
34214,Rahul Sanghvi,1974-09-03T00:00:00Z,India
28067,Pankaj Dharmani,1974-09-27T00:00:00Z,India
24790,Tanmay Mishra,1986-12-22T00:00:00Z,Kenya
24790,Tanmay Mishra,1986-12-22T00:00:00Z,India
26550,Abbas Ali,1976-02-20T00:00:00Z,India
21410,Adnan Saleem,1976-12-18T00:00:00Z,United Kingdom
4034,Alfred Andrew-Street,1914-04-08T00:00:00Z,Australia
22341,Alfred Watts,1859-04-05T00:00:00Z,United Kingdom
4044,Allen Aylett,1934-04-24T00:00:00Z,Australia
25532,Arshad Laeeq,1970-11-28T00:00:00Z,Pakistan
3966,Dale Anderson,1931-06-10T00:00:00Z,Australia
21477,Derek Taylor,1942-11-12T00:00:00Z,United Kingdom
29069,Dhiren Gajjar,1959-05-25T00:00:00Z,India
23364,George Wenman,1805-10-27T00:00:00Z,United Kingdom of Great Britain and Ireland
40329,Gul Mohammad,1921-10-15T00:00:00Z,India
40329,Gul Mohammad,1921-10-15T00:00:00Z,British Raj
40329,Gul Mohammad,1921-10-15T00:00:00Z,Dominion of India
40375,Haroon Rasheed,1953-03-25T00:00:00Z,Pakistan
24789,Kalpesh Patel,1985-07-18T00:00:00Z,Kenya
38611,Keith Thomson,1941-02-26T00:00:00Z,New Zealand
41233,Khalid Butt,1975-01-29T00:00:00Z,Pakistan
41046,Khalid Latif,1985-11-04T00:00:00Z,Pakistan
3995,Mark N. Atkinson,1969-02-11T00:00:00Z,Australia
22894,Mark Whitaker,1946-09-20T00:00:00Z,United Kingdom
4127,Murray Bennett,1956-10-06T00:00:00Z,Australia
37229,Noel Harford,1930-08-30T00:00:00Z,New Zealand
21549,Paul Todd,1953-03-12T00:00:00Z,United Kingdom
22760,Peter Waterman,1961-03-26T00:00:00Z,United Kingdom
34057,R. P. Singh,1965-01-06T00:00:00Z,India
37604,Robbie Lawson,1974-01-01T00:00:00Z,New Zealand
22919,Roger White,1943-11-22T00:00:00Z,United Kingdom
36564,Ronald Bush,1909-05-03T00:00:00Z,New Zealand
4035,Thomas Antill,1830-11-20T00:00:00Z,Australia
23454,Charles Wynne-Finch,1815-08-14T00:00:00Z,United Kingdom of Great Britain and Ireland
36576,Thomas Burgess,1888-09-26T00:00:00Z,New Zealand
20668,Frederic Sewell,1913-09-29T00:00:00Z,United Kingdom
20668,Frederic Sewell,1913-09-29T00:00:00Z,United Kingdom of Great Britain and Ireland
32480,Charles Provis,1885-01-01T00:00:00Z,United Kingdom
38323,Jim Riley,1948-01-26T00:00:00Z,New Zealand
4013,Malwyn a'Beckett,1834-09-26T00:00:00Z,Australia
23720,Peter Philpott,1967-10-28T00:00:00Z,Bermuda
315912,Delorn Johnson,1988-09-15T00:00:00Z,
28613,Des Raj,1944-01-01T00:00:00Z,India
28613,Des Raj,1944-01-01T00:00:00Z,British Raj
28613,Des Raj,1944-01-01T00:00:00Z,Dominion of India
39324,Aamer Sajjad,1981-02-05T00:00:00Z,Pakistan
37076,Charlie Frith,1854-01-19T00:00:00Z,New Zealand
21014,Frank Stephens,1889-04-26T00:00:00Z,United Kingdom
21014,Frank Stephens,1889-04-26T00:00:00Z,United Kingdom of Great Britain and Ireland
36025,Waheed Yar Khan,1942-11-09T00:00:00Z,Pakistan
36025,Waheed Yar Khan,1942-11-09T00:00:00Z,British Raj
27397,Nandan Bezbarua,,India
348154,Zafar Gohar,1995-02-01T00:00:00Z,Pakistan
20612,Frank Scholfield,1886-11-16T00:00:00Z,United Kingdom
39727,Aslam Khan,1935-03-15T00:00:00Z,Pakistan
39727,Aslam Khan,1935-03-15T00:00:00Z,British Raj
31805,Navdeep Singh,1974-01-24T00:00:00Z,India
28322,Abhijit Deshpande,1968-02-22T00:00:00Z,India
28486,Anil Deshpande,1952-08-02T00:00:00Z,India
4077,Kevin Badcock,1951-03-24T00:00:00Z,Australia
40841,Ijaz Ahmed,1960-03-01T00:00:00Z,
3993,Graham Astley,1957-03-31T00:00:00Z,Australia
4109,Henry Bayly,1850-11-19T00:00:00Z,Australia
34729,Shankar Saini,1964-07-08T00:00:00Z,India
39857,Ali Raza,1983-12-15T00:00:00Z,
37170,William Gollar,1858-03-11T00:00:00Z,New Zealand
36569,George Butlin,1861-07-11T00:00:00Z,New Zealand
38774,Richard Wixon,1957-02-19T00:00:00Z,New Zealand
37653,Max Lewis,1923-07-13T00:00:00Z,New Zealand
36464,John Blakely,1914-05-23T00:00:00Z,New Zealand
37066,William Frame,1932-08-31T00:00:00Z,New Zealand
38146,Justin Paul,1972-11-17T00:00:00Z,New Zealand
36500,Martin Bradley,1964-05-27T00:00:00Z,New Zealand
36286,Hugh Bannerman,1887-05-20T00:00:00Z,New Zealand
32642,Zulfiqar Parkar,1957-11-22T00:00:00Z,India
33384,Rajiv Rathore,1968-05-20T00:00:00Z,India
3964,Gordon Amos,1905-04-04T00:00:00Z,Australia
4096,Charles Barnes,1882-10-16T00:00:00Z,Australia
4110,James Beal,1830-05-26T00:00:00Z,Australia
4156,Gordon Black,1885-01-19T00:00:00Z,Australia
21007,Frederick Steele,1847-05-14T00:00:00Z,United Kingdom
38195,Roger Pierce,1952-05-24T00:00:00Z,New Zealand
279657,Alok Mangaraj,1988-11-28T00:00:00Z,India
21683,Patrick Trimby,1972-01-31T00:00:00Z,United Kingdom
21387,"Sir Richard Sutton, 4th Baronet",1821-10-21T00:00:00Z,
30792,William Forbes Lumsden,1879-09-04T00:00:00Z,
36384,Andrew Barron,1881-07-02T00:00:00Z,New Zealand
36481,Jack Booker,1915-06-04T00:00:00Z,New Zealand
37808,Edward Maples,1840-01-01T00:00:00Z,
38190,Edgar Phillips,1891-07-28T00:00:00Z,New Zealand
36515,Charles Broad,1945-12-01T00:00:00Z,New Zealand
10716,William Chatterton,1861-12-27T00:00:00Z,United Kingdom of Great Britain and Ireland
12486,Phil Edmonds,1951-03-08T00:00:00Z,United Kingdom
11963,Jack Durston,1893-01-01T00:00:00Z,United Kingdom
11963,Jack Durston,1893-01-01T00:00:00Z,United Kingdom of Great Britain and Ireland
15380,Alan Igglesden,1964-10-08T00:00:00Z,United Kingdom
19655,Albert Rhodes,1916-10-10T00:00:00Z,United Kingdom
19655,Albert Rhodes,1916-10-10T00:00:00Z,United Kingdom of Great Britain and Ireland
15123,Andrew Hawkins,1967-06-16T00:00:00Z,United Kingdom
10731,Bob Clapp,1948-12-12T00:00:00Z,United Kingdom
15051,Cedric Humphries,1913-12-26T00:00:00Z,United Kingdom
15051,Cedric Humphries,1913-12-26T00:00:00Z,United Kingdom of Great Britain and Ireland
12892,Darron Foy,1971-03-08T00:00:00Z,United Kingdom
10281,David Blank,1959-12-09T00:00:00Z,United Kingdom
17034,David Millns,1965-02-27T00:00:00Z,Australia
12463,Desmond Eagar,1917-12-08T00:00:00Z,United Kingdom
12463,Desmond Eagar,1917-12-08T00:00:00Z,United Kingdom of Great Britain and Ireland
14582,Dick Harrison,1881-01-01T00:00:00Z,United Kingdom
14780,Frank Hickley,1895-12-14T00:00:00Z,United Kingdom
14780,Frank Hickley,1895-12-14T00:00:00Z,United Kingdom of Great Britain and Ireland
